Sentences,Propaganda (Optional),Fake/Legit,Sentiment,Bots (Optional),Topic (Domain),Source,Why Fake? (Optional),MSA or ALG dialects ,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,
فريق شبيبة فرنسا الذي تأهل للدور النهائي في منافسة إعادة الجزائر الي الحضيرة-الزريبة- الفرنسية ولكنه خسر المباراة النهائية مع فريق شبيبة ثورة التحرير واشبال الثورة,No,Fake (Lie),Neutral,No,Politics,https://www.facebook.com/laCMODH/posts/1339850636042658/," صحة الأسماء التي تظهر في هذه الصورة  1- الشخص المشار إليه كأحمد أويحيى هو نور الدين آيت حمودة (إبن الكولونال عميروش و نائب سابق في آرسيدي) [1] 2- الشخص المشار إليه كبوشاشي هو المرحوم رابح بنشيخون [2] 3- الشخص المشار إليه كفرحات مهني هو علي فوزي رباعين (فرحات مهني في الحقيقة هو فوق فوزي رباعين في الصورة) الصورة التقطت عام 1985 في سجن البرواقية أين تم حبس الأعضاء المؤسسين للرابطة الجزائرية للدفاع عن حقوق الإنسان (LADDH) فيما سمي آنذاك بـ ""قضية فوزي رباعين"" [1][3][4] [1] https://www.facebook.com/nordine.aithamouda/posts/10213692032566380 [2] https://www.depechedekabylie.com/evenement/107284-hommage-a-rabah-benchikhoune-depuis-hier/ [3] http://lequotidienalgerie.org/2014/07/31/histoire-laconique-de-la-creation-de-la-laddh/ [4] ",ALG,278,241,4,31,2,,,42,1136514153187250,
 الصورة تجمع كمال الدين فخار والسيد افيخاي ادرعي,No,Fake (Lie),Neutral,No,Politics,, الشخص على اليمين ليس كمال الدين فخار بل يتعلق الأمر بالسيد بوعلام شلاط ، وهو من معجبي معطوب لوناس - الشخص على اليسار ليس أفيخاي أدرعي بل هو السيد بوعلام سحرين رئيس الجمعية الثقافية البربرية لفال دواز بفرنسا. نتقدم بالشكر للسيد سحرين الذي سمح لنا بنشر هاته الصور.,MSA,587,477,35,64,7,2,2,141,1135170553321610,
غلق ٧٠  مدرسة فرنسية في تركيا وبلدية باريس تصدر قراربخصوص مدارس تركية بفرنسا,No,Fake (Lie),Negative,No,Politics,,تم نشر هذا الخبر الكاذب في العديد من الصفحات من بينها صفحة الناشط العربي زيتوت. تركنا بعض الوقت للأطراف المعنية حتى يتسنى لها تكذيب الخبر و الاعتذار لكن لا حياة لمن تنادي. 1 - بلدية باريس لم تصدر أي قرار يخص مدارس تركية 2 - ماكرون لم يلغي أي قرار من هذا النوع 3 - الرئاسة التركية لم تصدر أي قرار غلق مدارس فرنسية (حتى أن المنشور يتكلم عن 70 مدرسة فرنسية في تركيا لكن حسب السفارة الفرنسية هي بعدد 12 [1]).  ينبغي الإشارة إلى أن الخبر الوحيد الذي يتعلق بهذا المنشور نوعا ما هو أن وزير التربية الفرنسي صرح مجيبا على سؤال صحفي أنه مرفوض تماما أن تفتح تركيا مدارس في فرنسا تنشر فكر الإسلام السياسي [2][3]. [1] https://tr.ambafrance.org/-Ecoles-francaises-et-francophones- [2] https://www.lepoint.fr/politique/les-indiscrets-erdogan-veut-creer-des-lycees-turcs-en-france-03-05-2019-2310701_20.php [3] https://lepetitjournal.com/istanbul/actualites/ecoles-turques-en-france-blanquer-dit-non-257059,MSA,268,210,39,15,1,2,1,38,1134124490092890,
عدة قنوات ومواقع أعلنت في 7 ماي الماضي عن إقالت ناصر (عبد الرحيم) بوتفليقة ، من بينها قناة العربية.,No,Fake (Lie),Negative,No,,,ناصر (عبد الرحيم) بوتفليقة يمارس مهاهه كأمين عام لوزارة التكوين المهني بشكل عادي.,MSA,110,78,3,6,6,3,14,19,1130264073812260,
سلسلة بشرية لمنع  هدم المسجد في دنمارك,No,Fake (Lie),Positive,No,Other,,الصورة المنتشرة مؤخرا لسلسلة بشرية حول أحد المساجد في الدنمارك لم تكن لمنع هدم المسجد بل كانت خلال وقفة تضامنية في أوت  2015 على إثر تعرض المسجد لحرق من طرف أحد المتطرفين. http://www.desdomesetdesminarets.fr/2015/08/26/danemark-chaine-humaine-de-1500-personnes-autour-dune-mosquee-ciblee-par-un-incendie-criminel/,MSA,148,135,2,10,,1,,9,1130068717165130,
"تسمية المركبة الفضائية الموجهة إلى مارس بـ""حراك الجزائر""",No,Fake (Lie),Positive,No,Technology,," الفيزيائي نورالدين مليكشي قال في تويتر أن الإسم ""حراك الجزائر"" سيكون على متن المركبة. في الحقيقة سيكون مكتوب في رقاقة إلكترونية مع أسماء أخرى و هذا ضمن برنامج مفتوح للجميع نظمته النازا. كل واحد يقدر يشارك بإسمه https://mars.nasa.gov/participate/send-your-name/mars2020",MSA,110,78,3,6,6,3,14,19,1130264073812260,
" فيلم عثمان عريوات الأخير الذي طال انتظاره (تقريبا 20 سنة) ""سنوات الإشهار"" (أو ""العرش"" أو ""العرش الأحمر"")  تم حجبه أو منعه لأنه يتطرق إلى موضوع ""الزواف""",No,Fake (Lie),Negative,No,Other,,"  بالرغم من قلة المعلومات حول هذا الفيلم فتلك الموجودة توحي إلى أن عثمان عريوات تقمص دور ضابط سام (بعض الإعلاميين تكلموا عن دور جينيرال). كما صرح عثمان عريوات لجريدة Liberté ""هي قصة شعب قد تحصل على إستقلاله بعد 130 سنة من الإحتلال""  في نفس النطاق ذكرت جريدة الخبر في 2014 أن الفيلم ""تعرض للمنع من البث من طرف السلطات العمومية في قاعات السينما، بسبب تضمنه مشاهد قد يتم تأويلها بشكل خاطئ على أنها انتقاد للجيش الوطني الشعبي""ر   https://www.liberte-algerie.com/entretien/ariouat-raconte-chronique-des-annees-pub-54344 https://www.elkhabar.com/press/article/76785/ https://www.algerie-focus.com/2017/12/devait-etre-diffuse-censure-film-dathmane-ariouet-va-etre-raccourci-de-45-minutes/ https://www.maghrebvoices.com/a/405752.html",MSA,99,84,5,9,1,,,15,1125820817589920,
 من البويرة الذي يحول عجلات السيارات إلى قفف للحيوانات,No,Fake (Lie),Positive,No,Other,,الشاب الذي يحول عجلات السيارات إلى قفف للحيوانات ليس من البويرة إنما هو شاب برازيلي يدعى أماريلدو سيلفا.,MSA,460,250,176,22,11,1,,46,1124845567687440,
خولة طالب الإبراهيمي بنت أحمد طالب الإبراهيمي تهجم على الإسلام أو العربية.,Yes,Fake (Lie),Negative,No,Politics,,1) خولة طالب الإبراهيمي ليست بنت أحمد طالب الإبراهيمي بل هي بنت أخيه. 2) أحمد طالب الإبراهيمي له ولدان ذكور : سعد الدين وبشير 3) خولة أستاذة جامعية و باحثة في علم اللسانيات كان لها عدة دراسات في مجال اللغة العربية و اللهجات الجزائرية.  4) لم نعثر لها على أي تصريح متهجم على الإسلام أو العربية,MSA,177,149,4,21,,2,1,16,1124447354393930,
مسح أو تغيير أهازيج المتظاهرين في فيديوات المسيرات، اصّرشو مليح في 0:52,Yes,Fake (Lie),Negative,No,Politics,,ظاهرة جديدة بدينا نشوفوها، أو بالأحرى نسمعوها، مسح أو تغيير أهازيج المتظاهرين في فيديوات المسيرات، اصّرشو مليح في 0:52 👂👂https://youtu.be/hcHReRc4u8Y نطلب من المتتبعين الحذر عند مشاهدة فيديوات الحراك و التبليغ لنا اذا سمعتو شيء مشكوك فيه,MSA,155,130,1,7,15,,2,20,1124207794417890,
مراسيم تسلم أوراق إعتماد السفير الفرنسي الحالي Xavier Driencourt من طرف رئيس الدول,No,Fake (Lie),Positive,No,Politics,,قناة البلاد حاولت مناورتنا ساعات قليلة قبل الإفطار، بحيث عرضت علينا مراسيم تسلم أوراق إعتماد السفير الفرنسي الحالي Xavier Driencourt من طرف رئيس الدولة ، زاعمة أنه سفير جديد. الفيديو في التعليق. تقديم أوراق اعتماد السفير يسمح لنا أيضا بتكذيب الأخبار المتداولة مؤخرا عن طلب الجزائر تغيير السفير الفرنسي... تصحيح:  التلفزيون الجزائري هو من زعم أن السفير جديد وليست قناة البلاد. هذه الأخيرة قامت بنقل الخبر عبر صفحتها مع وضع وسمة القناة على الفيديو. نذكر إيضا أن السفير الحالي يمارس مهامه منذ 2017 دون ترسيم.بن صالح يستقبل السفير الفرنسي بمقر رئاسة الجمهورية,MSA,109,94,6,3,3,,3,16,1123167161188620,
سوناطراك تصدر بيان باللغة العربية فقط  و تجاهلت الفرنسية,Yes,Fake (Lie),Neutral,No,Business,,البيان الصادر اليوم عن سوناطراك كان بالعربية والفرنسية وليس كما تدعي بعض الصفحات بالعربية فقط رابط البيان أسفله: https://sonatrach.com/wp-content/uploads/2019/05/CP-16-05-2019-AR-ET-FR.pdf,MSA,111,92,11,8,,,,9,1123124374526230,
 تسليم مشروع القصبة للكوبيين ,No,Fake (Lie),Positive,No,Business,,وزارة الثقافة تكذب الشائعات المتبادلة حول تسليم مشروع القصبة للكوبيين وتأكد أن الموضوع لم يكن حتى على جدول الأعمال خلال لقاء الوزيرة بالسفير الكوبي ,MSA,75,63,5,4,2,,1,12,1122750547896950,
 محمد العربي زيطوط ومراد دهينة في صورة على جريدة إسرائيلية مع بيرنارد هنري ليفي.,Yes,Fake (Lie),Negative,No,Politics,,مونتاج رديء لكن كثر انتشاره في الساعات الأخيرة، يظهر الناشطين محمد العربي زيطوط ومراد دهينة في صورة على جريدة إسرائيلية مع بيرنارد هنري ليفي.,MSA,153,118,24,10,1,,,26,1122268954611770,
كريم طابو ينفي يتماستدعاء للمثول أمام المحكمة  العسكرية ,Yes,Fake (Lie),Negative,No,,,كريم طابو ينفي تلقيه استدعاء للمثول أمام المحكمة العسكرية,MSA,83,75,3,4,1,,,9,1122129644625700,
السيد عبد القادر مسدوة سفير الجزائر في فرنسا  خلال زيارته لجناح الجزائر #VivaTech في باريس # الجزائر # الابتكار # الرقمية # التكنولوجيا #Paris,No,Fake (Lie),Positive,No,Technology,,يستمر تناقل هذا الخبر منذ 7 ماي، رغم أنه لم يتم تأكيده من طرف أي جهة رسمية أو مصدر صحفي ذي مصداقية,MSA,55,50,1,1,,,3,2,1120381138133890,
